"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 06:34:17 GMT 2025","Fri Jul 11 06:34:17 GMT 2025","0","tests.pytest","python_tests","TestCheckout","","","test_invalid_checkout",""
"passed","Fri Jul 11 06:34:16 GMT 2025","Fri Jul 11 06:34:20 GMT 2025","3902","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Jul 11 06:34:07 GMT 2025","Fri Jul 11 06:34:11 GMT 2025","4188","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Jul 11 06:34:17 GMT 2025","Fri Jul 11 06:34:17 GMT 2025","0","tests.pytest","python_tests","TestRegistration","","","test_invalid_registration",""
"passed","Fri Jul 11 06:34:17 GMT 2025","Fri Jul 11 06:34:17 GMT 2025","1","tests.pytest","python_tests","TestCheckout","","","test_valid_checkout",""
"passed","Fri Jul 11 06:34:12 GMT 2025","Fri Jul 11 06:34:14 GMT 2025","1610","LMS system","Authentication","Authorization","","","User gets login with wrong email or password",""
"passed","Fri Jul 11 06:34:17 GMT 2025","Fri Jul 11 06:34:17 GMT 2025","0","tests.pytest","python_tests","TestLogin","","","test_invalid_login",""
"passed","Fri Jul 11 06:34:10 GMT 2025","Fri Jul 11 06:34:12 GMT 2025","2225","LMS system","Authentication","Authorization","","","User gets login with wrong email or password",""
"passed","Fri Jul 11 06:34:15 GMT 2025","Fri Jul 11 06:34:18 GMT 2025","2988","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Jul 11 06:34:15 GMT 2025","Fri Jul 11 06:34:16 GMT 2025","1593","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Jul 11 06:34:20 GMT 2025","Fri Jul 11 06:34:20 GMT 2025","1","tests.pytest","python_tests","TestRegistration","","","test_valid_registration",""
"passed","Fri Jul 11 06:34:07 GMT 2025","Fri Jul 11 06:34:09 GMT 2025","1990","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Jul 11 06:34:18 GMT 2025","Fri Jul 11 06:34:20 GMT 2025","1818","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Jul 11 06:34:07 GMT 2025","Fri Jul 11 06:34:09 GMT 2025","2082","LMS system","Authentication","Authorization","","","User gets login with wrong email or password",""
"passed","Fri Jul 11 06:34:10 GMT 2025","Fri Jul 11 06:34:12 GMT 2025","2103","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
